State,ASD_prevalence_in2000,ASD_prevalence_in2010,ID_prevalence_in2000,ID_prevalence_in2010
Alabama,7.02,35.58,167.48,0
Alaska,11.31,41.99,41.81,31.95
Arizona,8.39,43.41,51.55,45.3
Arkansas,10.5,37.46,163.46,78.28
California,14.32,65.1,40.58,41.65
Colorado,4.3,29.09,29.67,22.98
Connecticut,15.74,70.63,43.21,27.6
Delaware,15.43,43,102.4,72.07
Florida,11.52,44.54,105.05,65.57
Georgia,9.47,42.53,136.7,68.16
Hawaii,11.55,40.28,86.44,37.11
Idaho,8.05,45.64,49.11,40.68
Illinois,12.61,49.01,83.28,61.73
Indiana,18.12,67.46,137.21,101.83
Iowa,8.25,9.66,208.84,148.89
Kansas,9.24,33.99,72.76,47.46
Kentucky,9.61,35.77,167.67,141.23
Louisiana,9.62,29.25,91.65,64.05
Maine,18.3,87.11,32.74,23.77
Maryland,16.28,60.55,48.72,36.36
Massachusetts,5.01,75.65,97.78,64.96
Michigan,17.03,57.59,90.44,79.17
Minnesota,20.25,106.59,74.22,62.81
Mississippi,4.97,28.99,68.83,0
Missouri,11.24,47.43,81.95,67.49
Montana,7.51,25.57,51.53,40.74
Nebraska,7.7,42.85,127.17,81.11
Nevada,9.11,52.8,34.06,29.16
New Hampshire,11.95,53.6,30.41,0
New Jersey,15.49,61.1,27.52,25.1
New Mexico,4.3,27.96,35.57,33.91
New York,13.54,48.54,32.66,25.62
North Carolina,12.47,48.89,137.44,77.4
North Dakota,7.4,0,68.28,44.9
Ohio,8.25,55.51,191.65,90.12
Oklahoma,7,30.77,87.89,55.97
Oregon,32.47,89.22,48.92,42.54
Pennsylvania,12.74,67.61,88.06,66.34
Rhode Island,12.81,67.2,44.17,33.54
South Carolina,8.84,32.83,157.92,67.07
South Dakota,11.88,35.17,66.84,66.54
Tennessee,7.25,37.22,97.3,47.23
Texas,11.46,45.51,41.33,44.53
Utah,8.28,44.6,41.68,36.53
Vermont,13.28,56.15,79.25,0
Virginia,11.94,57.84,77.57,51.43
Washington,10.44,50.73,40.88,27.22
West Virginia,7.32,32.34,208.86,167.39
Wisconsin,14.32,57,90.27,65.27
Wyoming,8.13,44.69,45.88,38.79
