State,ASD_prevalence_in2000,ASD_prevalence_in2010
Alabama,7.02,35.58
Alaska,11.31,41.99
Arizona,8.39,43.41
Arkansas,10.5,37.46
California,14.32,65.1
Colorado,4.3,29.09
Connecticut,15.74,70.63
Delaware,15.43,43
Florida,11.52,44.54
Georgia,9.47,42.53
Hawaii,11.55,40.28
Idaho,8.05,45.64
Illinois,12.61,49.01
Indiana,18.12,67.46
Iowa,8.25,9.66
Kansas,9.24,33.99
Kentucky,9.61,35.77
Louisiana,9.62,29.25
Maine,18.3,87.11
Maryland,16.28,60.55
Massachusetts,5.01,75.65
Michigan,17.03,57.59
Minnesota,20.25,106.59
Mississippi,4.97,28.99
Missouri,11.24,47.43
Montana,7.51,25.57
Nebraska,7.7,42.85
Nevada,9.11,52.8
New Hampshire,11.95,53.6
New Jersey,15.49,61.1
New Mexico,4.3,27.96
New York,13.54,48.54
North Carolina,12.47,48.89
North Dakota,7.4,0
Ohio,8.25,55.51
Oklahoma,7,30.77
Oregon,32.47,89.22
Pennsylvania,12.74,67.61
Rhode Island,12.81,67.2
South Carolina,8.84,32.83
South Dakota,11.88,35.17
Tennessee,7.25,37.22
Texas,11.46,45.51
Utah,8.28,44.6
Vermont,13.28,56.15
Virginia,11.94,57.84
Washington,10.44,50.73
West Virginia,7.32,32.34
Wisconsin,14.32,57
Wyoming,8.13,44.69
