State,Rate,Percents
Alabama,0.5,0.005
Alaska,0.5,0.005
Arizona,0.6,0.006
Arkansas,0.5,0.005
California,0.8,0.008
Colorado,0.4,0.004
Connecticut,0.9,0.009
Delaware,0.5,0.005
District of Columbia,0.6,0.006
Florida,0.6,0.006
Georgia,0.6,0.006
Hawaii,0.5,0.005
Idaho,0.6,0.006
Illinois,0.6,0.006
Indiana,0.9,0.009
Iowa,0.1,0.001
Kansas,0.4,0.004
Kentucky,0.5,0.005
Louisiana,0.4,0.004
Maine,1.1,0.011
Maryland,0.8,0.008
Massachusetts,0.9,0.009
Michigan,0.8,0.008
Minnesota,1.4,0.014
Mississippi,0.4,0.004
Missouri,0.7,0.007
Montana,0.4,0.004
Nebraska,0.6,0.006
Nevada,0.7,0.007
New Hampshire,0.7,0.007
New Jersey,0.8,0.008
New Mexico,0.4,0.004
New York,0.7,0.007
North Carolina,0.7,0.007
North Dakota,0.5,0.005
Ohio,0.7,0.007
Oklahoma,0.4,0.004
Oregon,1.2,0.012
Pennsylvania,0.9,0.009
Rhode Island,1,0.01
South Carolina,0.4,0.004
South Dakota,0.4,0.004
Tennessee,0.5,0.005
Texas,0.6,0.006
Utah,0.6,0.006
Vermont,0.8,0.008
Virginia,0.8,0.008
Washington,0.7,0.007
West Virginia,0.5,0.005
Wisconsin,0.8,0.008
Wyoming,0.7,0.007
