State,subdisorder,number
Arizona,Autistic disorder,254
Arizona,ASD-NOS/PDD-NOS,72
Arizona,Asperger disorder,15
Arkansas,Autistic disorder,97
Arkansas,ASD-NOS/PDD-NOS,20
Arkansas,Asperger disorder,16
Colorado,Autistic disorder,184
Colorado,ASD-NOS/PDD-NOS,55
Colorado,Asperger disorder,39
Georgia,Autistic disorder,262
Georgia,ASD-NOS/PDD-NOS,231
Georgia,Asperger disorder,53
Maryland,Autistic disorder,44
Maryland,ASD-NOS/PDD-NOS,72
Maryland,Asperger disorder,8
Missouri,Autistic disorder,67
Missouri,ASD-NOS/PDD-NOS,145
Missouri,Asperger disorder,45
New Jersey,Autistic disorder,192
New Jersey,ASD-NOS/PDD-NOS,378
New Jersey,Asperger disorder,77
North Carolina,Autistic disorder,207
North Carolina,ASD-NOS/PDD-NOS,156
North Carolina,Asperger disorder,23
South Carolina,Autistic disorder,143
South Carolina,ASD-NOS/PDD-NOS,70
South Carolina,Asperger disorder,7
Utah,Autistic disorder,114
Utah,ASD-NOS/PDD-NOS,178
Utah,Asperger disorder,68
Wisconsin,Autistic disorder,106
Wisconsin,ASD-NOS/PDD-NOS,173
Wisconsin,Asperger disorder,26
